carne_producida,carneros,corderos,direccion_viento,finura_lana,humedad,lana_producida,localidad,mm_lluvia,muertes,ovejas,pariciones,rinde_lana,temperatura_maxima,temperatura_minima,velocidad_viento,periodo
296,2,121,100,1090,51.3,1552,Gaiman,0.0,29,2098,468,2539,13.3,21.2,2.2,2013-02-09
278,5,108,110,1852,59.0,1842,Gaiman,0.0,47,2866,384,2575,15.0,19.6,1.4,2013-02-10
87,2,167,119,2140,55.5,1259,Gaiman,0.2,10,1942,493,1904,13.7,18.0,3.3,2013-02-11
87,3,96,98,1532,43.8,1553,Gaiman,0.0,50,1219,201,2697,11.9,15.1,5.5,2013-02-12
137,4,151,108,1333,45.7,2449,Gaiman,0.0,26,1811,239,1948,11.1,14.5,3.9,2013-02-13
878,4,102,139,1636,56.1,2617,Gaiman,1.8,33,2631,496,2462,12.3,15.9,4.6,2013-02-14
434,2,123,180,1614,52.8,2529,Gaiman,0.0,9,2011,365,2767,5.6,13.4,3.5,2013-02-15
599,1,100,171,2404,51.7,1980,Gaiman,0.0,26,2513,401,2390,6.4,11.8,2.5,2013-02-16
257,3,144,128,1119,43.8,2007,Gaiman,0.0,40,1072,299,1123,6.6,12.4,5.3,2013-02-17
62,3,91,90,1946,45.9,2014,Gaiman,0.0,25,2815,429,2905,9.9,15.8,4.9,2013-02-18
870,1,106,115,2381,39.8,2344,Gaiman,0.0,31,2211,490,1332,11.4,17.1,4.2,2013-02-19
682,1,109,99,1929,52.6,1813,Gaiman,0.0,11,1644,500,2583,3.1,14.1,1.4,2013-02-20
523,3,170,99,1869,58.0,1942,Gaiman,0.0,49,2675,272,1020,3.8,13.3,0.7,2013-02-21
831,1,112,163,1754,65.6,1625,Gaiman,0.0,12,2775,212,1634,5.4,14.2,0.9,2013-02-22
381,5,159,119,2259,88.3,2644,Gaiman,10.0,17,2588,426,1266,11.6,13.6,0.2,2013-02-23
419,3,142,128,1272,79.7,2824,Gaiman,0.2,48,2357,432,2230,10.2,13.0,1.0,2013-02-24
582,3,101,159,2612,76.6,2151,Gaiman,0.2,15,2450,429,1728,6.0,12.4,0.8,2013-02-25
124,4,102,140,2079,75.1,2171,Gaiman,0.4,38,2032,245,2941,9.2,13.8,0.8,2013-02-26
924,2,138,150,1305,74.1,2812,Gaiman,1.2,13,1591,288,1311,11.2,13.8,2.2,2013-02-27
664,2,179,130,1823,78.6,1750,Gaiman,0.0,21,1283,260,2927,9.7,14.1,0.9,2013-02-28
413,2,162,129,2143,88.5,2713,Gaiman,0.2,40,1761,297,1162,6.8,9.9,0.4,2013-03-01
644,5,146,169,2218,65.3,2509,Gaiman,0.0,20,1185,308,1968,14.3,18.1,1.5,2013-03-02
311,2,126,163,2103,72.7,1054,Gaiman,0.2,14,2673,486,1336,12.0,14.8,1.3,2013-03-03
540,5,150,112,1751,65.4,2020,Gaiman,0.0,33,2792,349,1104,11.8,17.6,1.7,2013-03-04
888,2,136,165,2041,83.8,2644,Gaiman,0.2,10,1825,313,1958,7.7,11.6,0.4,2013-03-05
667,3,100,180,2768,61.7,1047,Gaiman,0.0,26,1781,418,1230,10.9,18.4,1.3,2013-03-06
346,2,154,96,2411,77.3,2619,Gaiman,0.0,4,1133,282,1690,7.7,12.0,0.7,2013-03-07
56,2,157,141,1914,33.5,2710,Gaiman,0.0,1,2172,283,2270,16.8,22.6,3.3,2013-03-08
311,5,100,101,1166,63.0,2644,Gaiman,0.0,49,2574,387,2108,12.8,16.0,2.4,2013-03-09
921,2,167,169,1492,47.9,2815,Gaiman,0.0,2,2631,319,1965,11.2,15.3,3.3,2013-03-10
370,2,106,94,1576,60.0,2326,Gaiman,0.0,11,2344,374,1245,3.6,8.4,2.1,2013-03-11
676,5,114,110,2788,36.9,2326,Gaiman,0.0,44,1302,405,1323,9.3,13.5,5.2,2013-03-12
547,3,151,134,2913,61.0,2031,Gaiman,0.0,48,1458,343,2687,6.2,8.9,1.6,2013-03-13
958,1,106,172,1870,81.1,1501,Gaiman,4.0,44,1376,287,1715,7.3,9.4,0.3,2013-03-14
288,2,103,93,2244,86.9,2620,Gaiman,0.0,42,2439,380,2107,5.2,7.8,0.3,2013-03-15
770,3,156,132,1658,56.0,1891,Gaiman,0.0,23,2127,275,2480,10.9,15.7,3.1,2013-03-16
219,2,165,146,1596,58.5,2153,Gaiman,0.0,10,1872,421,2260,9.9,12.1,2.8,2013-03-17
376,5,107,133,2092,46.5,1237,Gaiman,0.0,33,2110,475,2709,8.2,14.5,4.5,2013-03-18
601,4,119,131,1837,72.5,1200,Gaiman,0.0,18,1112,224,2496,4.7,8.4,1.3,2013-03-19
804,3,123,176,1336,45.3,1690,Gaiman,0.0,12,2490,416,2619,11.4,15.8,4.3,2013-03-20
962,2,95,109,2970,48.5,1613,Gaiman,0.0,41,2295,383,2650,7.6,10.1,4.5,2013-03-21
850,3,168,98,1307,41.8,1194,Gaiman,0.0,48,1936,300,1433,11.6,14.4,5.6,2013-03-22
417,5,101,153,2547,67.5,1986,Gaiman,0.0,23,1094,430,2647,5.6,8.3,2.3,2013-03-23
523,3,164,158,1980,66.4,1408,Gaiman,0.0,8,1803,296,2703,7.0,10.7,1.0,2013-03-24
416,2,100,158,1677,72.0,1986,Gaiman,0.0,27,2447,431,1113,4.1,7.9,1.3,2013-03-25
52,1,157,151,2692,56.3,2867,Gaiman,0.0,14,2531,343,2781,5.4,11.1,1.9,2013-03-26
744,4,171,127,1804,71.3,1918,Gaiman,0.0,31,2345,348,1563,2.9,6.5,0.7,2013-03-27
134,5,137,100,1070,51.3,1490,Gaiman,0.0,29,2573,216,2418,4.3,11.7,1.9,2013-03-28
393,1,174,140,1146,72.9,2951,Gaiman,0.0,32,2168,257,1584,1.3,5.0,0.6,2013-03-29
900,4,135,144,2868,57.8,2908,Gaiman,0.0,5,1348,360,2681,5.3,11.7,1.5,2013-03-30
827,1,180,156,2979,73.8,2037,Gaiman,0.0,36,1672,277,1734,3.1,6.3,0.6,2013-03-31
733,3,160,130,1987,80.9,2905,Gaiman,0.0,1,1653,379,2544,1.3,5.3,0.3,2013-04-01
67,2,144,158,1326,67.9,2333,Gaiman,0.0,9,1233,280,2108,6.7,12.7,1.7,2013-04-02
856,4,105,125,2621,78.7,2649,Gaiman,0.2,33,1970,293,2938,4.1,7.5,0.5,2013-04-03
219,4,126,156,1102,56.5,2178,Gaiman,0.0,34,2074,426,2186,6.4,14.3,1.1,2013-04-04
792,4,107,126,2380,76.8,1259,Gaiman,0.0,17,1569,344,2573,3.1,7.8,0.7,2013-04-05
654,3,105,169,2731,43.4,2474,Gaiman,0.0,25,2587,235,2965,15.9,19.9,5.1,2013-04-06
120,4,162,124,2471,53.3,1535,Gaiman,0.0,41,1256,331,2278,15.7,17.3,5.0,2013-04-07
542,5,152,135,2291,35.9,1415,Gaiman,0.0,33,1651,274,2785,9.7,14.4,5.9,2013-04-08
944,3,163,161,1477,56.7,1751,Gaiman,0.0,21,2304,394,1839,6.3,9.7,3.7,2013-04-09
777,2,103,98,2558,42.4,1699,Gaiman,0.0,43,1386,389,2592,8.0,10.1,5.2,2013-04-10
342,5,127,158,2440,49.0,2560,Gaiman,0.0,12,1599,282,1692,9.3,12.4,5.8,2013-04-11
460,5,99,157,1714,38.5,2808,Gaiman,0.0,17,2365,403,1164,12.1,15.4,8.0,2013-04-12
614,5,126,178,2152,55.0,2699,Gaiman,0.0,20,2172,439,2446,2.9,9.2,1.9,2013-04-13
847,4,116,160,2859,43.5,1860,Gaiman,0.0,13,1234,395,2609,12.4,14.6,5.0,2013-04-14
880,2,102,135,1020,57.4,1042,Gaiman,0.0,36,1051,310,1409,9.2,12.6,2.8,2013-04-15
756,4,118,155,1819,60.5,2245,Gaiman,0.0,10,2437,396,1684,8.8,13.4,1.3,2013-04-16
449,1,135,162,2329,86.4,2405,Gaiman,0.0,48,2952,210,1679,6.4,8.1,0.1,2013-04-17
506,4,98,113,1146,67.3,1352,Gaiman,0.0,12,1186,268,2499,9.9,13.2,0.9,2013-04-18
472,4,117,94,1455,56.4,2792,Gaiman,0.0,5,1145,367,2856,8.4,11.5,3.4,2013-04-19
802,5,172,141,1679,49.4,1320,Gaiman,0.0,47,1365,252,1274,4.6,9.3,3.9,2013-04-20
149,3,123,156,1658,67.7,2768,Gaiman,0.0,48,1614,297,2487,-1.5,1.9,0.4,2013-04-21
722,5,143,168,2692,51.9,1471,Gaiman,0.0,18,2261,429,1020,0.2,8.3,2.2,2013-04-22
832,1,101,131,2829,75.3,1600,Gaiman,0.0,34,1681,347,1094,-2.2,0.9,0.4,2013-04-23
942,3,119,156,1093,48.0,2681,Gaiman,0.0,9,1450,252,2062,10.4,13.2,4.5,2013-04-24
382,5,125,106,2321,62.8,2946,Gaiman,0.0,37,2921,225,2089,8.4,10.5,2.0,2013-04-25
933,2,160,159,1749,61.2,2550,Gaiman,0.0,9,2855,484,2181,12.0,13.7,4.6,2013-04-26
602,5,129,151,2181,81.1,2071,Gaiman,0.0,24,1111,273,2175,8.3,9.9,0.2,2013-04-27
242,1,127,135,1448,63.6,1433,Gaiman,0.0,26,1554,491,1935,11.5,16.4,2.2,2013-04-28
401,1,123,171,2761,86.4,2149,Gaiman,0.0,5,2296,234,2876,7.4,9.8,0.1,2013-04-29
435,2,130,125,2365,73.4,1890,Gaiman,0.0,50,2541,316,2955,9.7,14.6,0.7,2013-04-30
893,5,106,163,2129,73.8,2034,Gaiman,0.0,50,2232,401,2647,-1.2,3.0,0.5,2013-05-01
489,2,101,117,1286,57.3,2986,Gaiman,0.0,29,2677,322,2165,1.3,8.6,1.7,2013-05-02
155,1,166,101,2610,65.7,2378,Gaiman,0.0,15,1041,494,2924,0.6,2.8,0.8,2013-05-03
956,2,121,114,1473,71.1,1926,Gaiman,0.0,24,1977,281,1463,5.5,7.8,0.5,2013-05-04
803,3,136,118,1647,89.6,2534,Gaiman,2.2,38,1273,488,2774,1.5,4.7,0.0,2013-05-05
319,5,159,157,2187,79.4,2101,Gaiman,0.8,34,2085,420,2559,5.7,9.0,1.4,2013-05-06
734,4,132,159,1267,50.5,2242,Gaiman,0.0,3,2994,480,1421,5.2,9.0,4.3,2013-05-07
439,4,102,149,1954,41.6,2700,Gaiman,0.0,45,2521,264,1372,9.9,12.0,5.3,2013-05-08
165,2,144,154,2596,50.5,1882,Gaiman,0.0,39,2019,478,1312,9.4,11.8,4.8,2013-05-09
175,3,129,120,1693,52.3,2149,Gaiman,1.0,24,2237,310,1390,8.7,12.6,5.9,2013-05-10
207,3,134,156,2406,42.8,2506,Gaiman,0.0,23,2111,397,2356,7.9,9.6,7.5,2013-05-11
15,4,136,168,1387,40.0,2072,Gaiman,0.0,16,1744,429,1009,10.4,12.5,9.2,2013-05-12
307,5,175,114,2557,57.8,2230,Gaiman,0.2,46,2138,456,2016,10.5,11.7,6.3,2013-05-13
304,3,122,162,1762,89.4,2917,Gaiman,13.8,31,1625,308,1740,9.4,10.3,0.6,2013-05-14
43,1,108,178,1907,64.5,2483,Gaiman,4.2,40,1736,320,2761,8.1,11.7,3.9,2013-05-15
211,5,122,93,1601,42.4,1642,Gaiman,0.0,23,2987,464,1676,10.7,14.2,6.3,2013-05-16
704,3,93,165,1028,43.3,2969,Gaiman,0.0,24,2616,459,1076,10.1,13.2,5.7,2013-05-17
413,5,123,100,2797,50.7,1078,Gaiman,0.0,35,2620,435,1469,10.5,13.7,4.7,2013-05-18
351,5,151,145,2539,69.4,1148,Gaiman,0.0,19,1520,338,1288,4.9,8.9,2.7,2013-05-19
692,4,163,160,1109,42.0,1382,Gaiman,0.0,41,2647,402,2055,10.8,12.8,6.4,2013-05-20
490,1,131,152,2436,50.1,1553,Gaiman,0.0,2,1393,285,2534,9.4,11.7,4.1,2013-05-21
264,5,93,111,1357,48.7,2449,Gaiman,0.0,6,2225,205,2092,7.9,11.0,6.2,2013-05-22
419,3,157,146,1910,55.9,2669,Gaiman,0.2,3,1279,222,2364,7.7,9.0,7.2,2013-05-23
609,1,127,111,2988,69.0,2758,Gaiman,3.6,48,2946,306,2198,3.3,6.0,6.7,2013-05-24
397,2,109,98,2962,75.9,2374,Gaiman,0.0,12,2594,321,1781,1.0,3.8,2.4,2013-05-25
153,2,95,180,1976,51.5,1010,Gaiman,0.2,20,1079,270,2504,2.3,5.9,4.3,2013-05-26
737,1,106,147,1997,50.0,1525,Gaiman,0.0,34,2497,357,2001,-1.2,2.1,2.0,2013-05-27
804,4,135,93,1744,42.5,1316,Gaiman,0.0,7,2333,497,2783,4.6,5.9,5.6,2013-05-28
389,1,94,156,2391,48.4,1644,Gaiman,0.0,32,2053,234,2200,5.5,7.6,6.0,2013-05-29
939,1,178,163,2149,55.2,2734,Gaiman,0.0,45,1459,461,2810,7.0,10.0,5.2,2013-05-30
740,3,164,153,2696,79.7,1726,Gaiman,0.0,14,2288,256,1916,-1.0,2.9,0.5,2013-05-31
812,3,147,115,1506,76.5,1786,Gaiman,0.0,31,1282,455,2648,1.7,3.6,0.2,2013-06-01
227,4,163,140,1889,62.8,1792,Gaiman,0.0,21,2738,255,1348,0.6,6.8,2.2,2013-06-02
590,2,173,93,2384,65.5,2148,Gaiman,0.0,42,1173,247,2449,0.1,7.8,3.1,2013-06-03
617,2,95,173,2411,52.2,2058,Gaiman,0.0,38,1330,377,2261,10.5,12.5,5.5,2013-06-04
607,2,127,167,1355,57.4,2676,Gaiman,0.0,43,2147,382,1812,9.2,11.3,4.5,2013-06-05
865,4,152,142,1747,84.8,2019,Gaiman,0.2,3,2481,318,2533,1.8,6.4,0.0,2013-06-06
228,4,179,118,2944,68.0,2695,Gaiman,0.0,40,1694,366,1043,1.6,6.6,2.4,2013-06-07
587,3,125,121,2021,78.3,1145,Gaiman,12.0,9,1778,360,2662,2.7,5.6,1.2,2013-06-08
546,1,126,151,1133,89.6,1099,Gaiman,0.2,18,2828,325,2772,0.3,2.5,0.7,2013-06-09
569,5,145,164,1229,52.4,1821,Gaiman,0.0,5,1574,324,1322,5.8,9.8,5.1,2013-06-10
77,2,142,105,1254,77.9,2457,Gaiman,0.4,15,2307,279,1672,2.8,4.7,0.4,2013-06-11
913,3,156,175,1130,63.6,2246,Gaiman,0.2,6,1198,213,2174,4.6,8.4,4.8,2013-06-12
617,2,104,125,1759,67.5,2626,Gaiman,0.8,43,1398,326,2712,2.1,4.4,6.1,2013-06-13
717,3,134,173,1615,47.3,1195,Gaiman,0.0,7,1589,496,1100,4.0,8.0,6.1,2013-06-14
399,1,132,161,1122,56.8,1164,Gaiman,0.0,39,2277,225,1698,1.8,6.9,5.3,2013-06-15
584,2,104,124,1254,40.2,2633,Gaiman,0.0,37,2894,375,2030,11.1,12.5,9.1,2013-06-16
521,5,151,140,2228,45.5,2139,Gaiman,0.0,32,1074,410,2880,11.0,13.2,8.2,2013-06-17
833,3,116,149,2758,41.2,2825,Gaiman,0.0,23,1827,273,2466,13.9,16.5,14.0,2013-06-18
812,1,151,145,1008,64.5,2897,Gaiman,1.8,27,1493,444,1586,8.1,10.3,8.3,2013-06-19
201,3,128,111,2211,40.7,1365,Gaiman,0.0,38,2994,477,2664,8.7,11.4,6.2,2013-06-20
387,5,93,170,1481,58.4,2309,Gaiman,0.0,2,1238,389,1847,5.8,11.4,4.9,2013-06-21
829,1,140,150,2606,41.4,1208,Gaiman,0.0,32,1520,339,1926,7.9,11.2,5.5,2013-06-22
47,1,127,95,2084,63.1,1707,Gaiman,0.0,34,2640,364,1715,3.2,7.0,3.7,2013-06-23
448,1,170,99,2257,39.7,1958,Gaiman,0.0,38,1524,363,1281,8.9,10.5,7.0,2013-06-24
933,3,107,114,2494,40.8,2750,Gaiman,0.0,43,1008,359,1346,5.8,7.6,5.2,2013-06-25
725,5,151,176,1775,48.2,2956,Gaiman,0.0,32,1619,456,1412,-1.2,4.7,3.4,2013-06-26
415,1,157,127,1123,54.6,1597,Gaiman,0.0,25,2308,369,1686,-0.7,1.0,0.8,2013-06-27
76,4,177,120,2482,74.1,1187,Gaiman,0.2,27,2598,256,2217,-0.5,2.5,0.7,2013-06-28
867,2,112,110,1328,76.5,2244,Gaiman,0.2,39,1777,361,1141,-0.8,3.1,1.9,2013-06-29
12,5,127,172,2553,47.7,2811,Gaiman,0.0,15,2676,385,2032,3.2,6.8,5.5,2013-06-30
44,1,151,158,2157,70.4,1442,Gaiman,0.6,8,2164,237,2779,1.3,3.0,0.6,2013-07-01
869,1,108,145,2058,90.9,1911,Gaiman,11.2,49,2769,465,1921,4.2,5.5,0.3,2013-07-02
512,3,124,113,2055,86.4,2803,Gaiman,2.6,12,2226,303,2087,3.1,5.3,0.9,2013-07-03
696,1,158,127,2813,70.3,1855,Gaiman,0.4,39,2026,316,2755,4.4,7.1,2.5,2013-07-04
143,5,90,150,2235,70.0,2207,Gaiman,0.0,1,2850,367,1115,3.7,5.1,3.6,2013-07-05
771,5,159,170,1071,70.9,2865,Gaiman,0.0,32,2624,400,1316,2.0,4.8,2.8,2013-07-06
813,2,97,147,2795,69.1,1986,Gaiman,0.2,41,2687,427,1464,-0.3,2.4,1.5,2013-07-07
548,1,118,111,2671,70.0,2376,Gaiman,0.0,2,2055,445,1765,0.1,4.4,1.0,2013-07-08
1,3,159,102,1206,72.2,1487,Gaiman,0.0,34,2834,287,1864,0.0,2.0,1.1,2013-07-09
443,4,155,148,2817,72.9,2358,Gaiman,0.0,28,2280,308,1236,-0.2,3.5,1.1,2013-07-10
343,3,150,165,2358,70.0,1052,Gaiman,0.0,1,2888,260,2675,-2.4,-0.1,0.0,2013-07-11
353,5,96,93,2561,73.6,2931,Gaiman,0.0,33,2322,416,2496,-2.2,2.9,0.8,2013-07-12
247,2,157,119,1647,81.5,1006,Gaiman,0.0,46,1371,416,2594,-4.1,-2.5,0.1,2013-07-13
41,5,154,151,1562,70.3,2013,Gaiman,0.0,49,2307,331,1759,-2.1,3.1,0.9,2013-07-14
581,1,112,132,2980,81.1,2209,Gaiman,0.2,43,2399,337,1099,-3.4,-2.0,0.0,2013-07-15
213,3,132,175,1970,81.8,2317,Gaiman,0.0,18,1478,395,1245,-1.6,1.2,0.1,2013-07-16
129,1,170,102,1075,83.4,1144,Gaiman,0.0,46,1122,240,1384,-3.1,-1.9,0.0,2013-07-17
408,1,91,125,1675,70.3,2013,Gaiman,0.6,14,1640,326,1803,1.4,4.1,0.3,2013-07-18
744,1,106,168,2622,89.0,1227,Gaiman,0.2,36,1769,320,1044,-1.0,0.3,0.0,2013-07-19
590,1,162,159,1060,66.0,1642,Gaiman,0.0,28,2331,430,1648,5.8,8.2,2.1,2013-07-20
267,5,158,94,1332,59.8,2753,Gaiman,0.0,21,2547,469,1710,2.4,6.6,3.1,2013-07-21
658,2,159,118,2846,56.6,1702,Gaiman,0.0,4,2944,253,1117,8.6,10.5,6.1,2013-07-22
272,1,132,99,1263,56.3,2677,Gaiman,0.0,5,1965,208,1667,4.7,9.2,4.3,2013-07-23
297,4,106,171,2557,76.5,3000,Gaiman,3.0,6,2921,200,1590,4.4,6.2,3.0,2013-07-24
459,2,151,173,2900,68.7,2614,Gaiman,0.0,14,1815,217,2034,3.1,5.5,3.3,2013-07-25
943,4,129,117,1670,49.0,1949,Gaiman,0.0,1,2243,417,2824,6.3,8.5,5.7,2013-07-26
456,4,124,138,1777,52.3,1482,Gaiman,0.0,8,1610,458,2459,1.9,6.3,3.0,2013-07-27
598,4,150,170,1891,53.5,1309,Gaiman,0.0,44,1627,237,2593,7.4,9.5,5.0,2013-07-28
515,2,161,93,2920,59.1,2355,Gaiman,0.0,14,1680,464,2961,8.1,8.8,4.1,2013-07-29
848,2,108,139,1740,55.5,1092,Gaiman,0.0,16,1725,435,1066,7.2,9.6,5.8,2013-07-30
93,3,93,134,1723,64.5,1504,Gaiman,0.2,50,1778,293,2143,5.4,7.5,4.0,2013-07-31
550,1,138,164,1737,73.6,1399,Gaiman,0.0,47,2106,469,1868,-0.4,3.6,0.7,2013-08-01
101,3,167,148,1052,64.8,2406,Gaiman,0.0,33,1463,324,2491,1.0,6.2,0.9,2013-08-02
701,5,102,160,2499,79.6,2632,Gaiman,0.0,39,1611,419,2541,-1.8,0.5,0.1,2013-08-03
606,3,110,110,2958,73.5,2307,Gaiman,0.0,5,1482,363,2746,1.7,5.7,0.5,2013-08-04
676,3,156,124,1136,84.7,1602,Gaiman,0.2,14,1759,407,2366,-1.4,0.9,0.2,2013-08-05
190,3,111,121,1966,68.3,1854,Gaiman,0.0,1,2000,388,2331,1.2,6.4,1.5,2013-08-06
779,2,178,166,1285,71.3,2357,Gaiman,0.0,19,2936,203,1048,-0.1,2.2,0.7,2013-08-07
784,1,150,112,2966,85.8,1417,Gaiman,7.0,22,2331,470,1795,2.0,2.9,1.9,2013-08-08
858,3,163,94,2055,87.9,1047,Gaiman,0.6,40,2436,368,2267,-0.6,2.1,0.2,2013-08-09
765,2,158,119,1721,62.5,1006,Gaiman,0.0,26,1038,483,2319,1.6,5.7,2.9,2013-08-10
322,3,108,107,2685,81.8,2823,Gaiman,0.0,3,2178,392,1136,-1.1,0.8,0.9,2013-08-11
850,3,135,107,1314,77.3,1950,Gaiman,1.2,8,1946,499,2714,2.0,5.3,1.9,2013-08-12
495,2,163,114,2649,84.1,1974,Gaiman,0.0,46,1061,259,1033,2.0,3.6,0.3,2013-08-13
89,5,123,115,2687,47.4,2824,Gaiman,0.0,5,2539,273,1605,4.8,7.4,5.3,2013-08-14
382,4,125,116,1870,53.0,1490,Gaiman,0.0,44,2444,450,1139,3.3,5.7,3.2,2013-08-15
837,3,155,155,1955,43.8,2960,Gaiman,0.0,18,2795,430,2010,4.6,8.3,4.7,2013-08-16
926,5,115,126,1246,52.8,1029,Gaiman,0.0,28,2805,254,1081,0.6,5.0,3.5,2013-08-17
768,5,180,114,1389,57.4,2805,Gaiman,0.2,24,1977,442,2400,6.3,9.6,7.0,2013-08-18
347,4,151,117,1776,77.2,1297,Gaiman,0.4,4,1199,382,1038,0.6,6.0,2.6,2013-08-19
162,5,107,153,2310,40.3,1594,Gaiman,0.2,45,2525,286,1542,8.1,11.0,8.0,2013-08-20
622,2,155,128,1009,56.4,2154,Gaiman,0.0,50,1725,317,1393,5.3,7.9,4.5,2013-08-21
228,4,101,123,1018,32.0,1832,Gaiman,0.0,28,2109,306,2009,-0.2,5.6,5.1,2013-08-22
970,2,165,96,1049,46.8,1605,Gaiman,0.0,11,2891,248,1456,1.7,2.8,4.7,2013-08-23
385,4,171,106,2087,39.9,2814,Gaiman,0.0,4,1154,433,1751,3.8,6.2,4.7,2013-08-24
424,5,129,113,1968,53.0,1125,Gaiman,0.0,5,2284,283,2603,1.6,4.7,3.3,2013-08-25
886,3,128,133,1174,39.4,2299,Gaiman,0.0,32,1899,486,2528,5.7,7.9,4.7,2013-08-26
819,4,115,102,2793,47.4,2120,Gaiman,0.0,5,2210,384,2543,6.4,8.9,6.8,2013-08-27
738,1,179,150,2922,63.0,2488,Gaiman,0.8,41,2491,407,2410,5.4,7.3,5.5,2013-08-28
104,3,115,176,1758,70.5,2509,Gaiman,0.0,18,1116,485,1098,0.7,4.3,3.3,2013-08-29
784,4,162,124,2382,70.6,1611,Gaiman,0.6,22,2928,309,2006,2.8,4.5,5.2,2013-08-30
47,5,139,122,1307,45.8,2679,Gaiman,0.2,30,1637,329,1135,3.5,6.6,6.4,2013-08-31
75,3,104,123,2597,80.5,2043,Gaiman,0.6,50,2684,268,2734,2.9,4.5,1.1,2013-09-01
995,2,113,162,1785,75.0,2091,Gaiman,1.4,39,2740,210,1765,0.9,4.1,2.0,2013-09-02
58,5,143,167,1496,62.0,1575,Gaiman,0.0,31,1295,200,2965,-1.4,4.0,1.5,2013-09-03
751,2,157,140,2915,83.9,2225,Gaiman,10.0,4,1574,453,1218,0.8,3.3,1.9,2013-09-04
343,3,110,175,1024,79.4,1649,Gaiman,1.0,15,2788,331,1777,1.7,5.8,1.2,2013-09-05
509,5,100,107,2038,57.6,1708,Gaiman,0.0,29,2935,463,2723,2.4,6.6,1.7,2013-09-06
236,5,179,137,2798,62.6,1957,Gaiman,0.0,3,1758,423,1517,-0.9,7.7,2.7,2013-09-07
301,3,137,111,1791,63.2,2332,Gaiman,0.4,30,1872,269,1999,9.1,11.0,3.2,2013-09-08
87,5,165,95,1005,72.9,1995,Gaiman,1.2,23,2305,235,1301,4.1,8.6,1.1,2013-09-09
160,3,173,153,1112,46.4,1164,Gaiman,0.0,43,1676,306,2534,-0.7,7.0,5.0,2013-09-10
633,2,179,158,2046,49.8,2530,Gaiman,0.0,30,1075,233,1555,-2.1,4.0,2.3,2013-09-11
877,1,123,109,2800,48.9,1858,Gaiman,0.0,18,2685,347,2745,-2.4,3.7,1.5,2013-09-12
57,2,133,139,2953,49.7,1865,Gaiman,0.0,6,2161,279,2684,-1.6,3.7,1.8,2013-09-13
404,3,140,105,1391,45.5,1662,Gaiman,0.0,11,2707,313,1609,1.3,4.8,2.1,2013-09-14
132,5,129,132,2793,53.0,1170,Gaiman,0.0,43,2566,421,2889,-1.7,4.4,1.3,2013-09-15
779,4,124,138,1154,50.2,2893,Gaiman,0.0,47,1671,376,1494,-0.8,5.9,2.4,2013-09-16
264,2,157,139,1673,42.5,1180,Gaiman,0.0,6,2407,428,2764,1.8,8.4,3.7,2013-09-17
848,1,166,106,2042,56.0,1663,Gaiman,0.0,27,2406,356,1365,-0.2,7.3,2.2,2013-09-18
11,5,180,180,1686,45.1,2191,Gaiman,0.0,36,2969,422,2070,5.0,8.6,4.4,2013-09-19
770,5,102,127,1062,56.4,2681,Gaiman,0.4,47,1066,339,2446,2.4,6.8,1.6,2013-09-20
603,5,159,144,2868,46.6,2224,Gaiman,0.0,45,1491,356,1950,-1.3,7.2,4.1,2013-09-21
943,4,168,180,2249,42.5,2857,Gaiman,0.0,39,2627,250,1272,-2.3,8.0,3.4,2013-09-22
697,2,131,146,2999,45.7,1200,Gaiman,0.0,15,2422,251,2224,-1.0,7.8,1.9,2013-09-23
97,5,127,135,2206,51.8,2863,Gaiman,0.0,27,2203,424,1847,-0.1,6.9,1.1,2013-09-24
73,2,153,103,2452,53.8,2959,Gaiman,0.0,27,2075,389,1523,-0.2,7.8,3.2,2013-09-25
225,5,109,110,2670,47.7,2386,Gaiman,0.0,41,2297,482,1940,-0.3,5.9,2.4,2013-09-26
152,3,100,99,1089,44.5,2500,Gaiman,0.0,16,1618,383,1890,-1.6,4.9,1.7,2013-09-27
386,3,168,164,2445,42.6,2461,Gaiman,0.0,45,2798,340,1994,5.0,9.0,2.5,2013-09-28
730,1,107,174,2628,48.2,2537,Gaiman,0.0,15,2749,342,1760,2.4,6.6,2.5,2013-09-29
501,1,108,180,2941,68.5,2915,Gaiman,0.0,25,2391,292,1317,0.9,6.7,1.2,2013-09-30
810,2,151,148,2323,49.9,2741,Gaiman,0.0,3,1192,341,1777,3.4,9.4,3.9,2013-10-01
336,5,104,112,1772,46.1,2584,Gaiman,0.0,23,2161,248,2737,-0.5,6.4,3.8,2013-10-02
892,2,123,141,1324,46.8,1643,Gaiman,0.0,17,1494,230,1256,-2.4,7.0,2.2,2013-10-03
890,4,118,133,1477,52.1,2748,Gaiman,0.0,35,1530,303,2712,3.2,10.4,4.4,2013-10-04
404,2,94,111,1728,46.1,2037,Gaiman,0.0,38,1563,498,1198,5.0,12.0,5.7,2013-10-05
748,2,98,164,2848,51.2,2846,Gaiman,0.0,15,1175,384,1109,6.1,11.3,7.7,2013-10-06
99,2,171,90,1974,49.4,2958,Gaiman,0.0,12,2783,427,2952,8.8,13.3,4.3,2013-10-07
542,4,118,137,1894,48.0,1940,Gaiman,0.0,15,2920,397,2220,4.2,10.7,4.6,2013-10-08
251,4,164,110,1779,40.5,1816,Gaiman,0.0,34,1577,461,1901,7.8,10.8,6.5,2013-10-09
